name,name_eng,rank,total_score,school_level,type,note,location,link,logo
大连大学,Dalian University,225,156.9,,综合,,辽宁,"http://www.dlu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/60934075.png
苏州科技大学,Suzhou University of Science and Technology,226,156.4,,理工,,江苏,"https://www.usts.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/14409136.png
河北科技大学,Hebei University of Science and Technology,227,155.9,,理工,,河北,"https://www.hebust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/87539958.png
渤海大学,Bohai University,228,155.8,,综合,,辽宁,"https://www.bhu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/41274490.png
华北理工大学,North China University of Science and Technology,229,155.5,,综合,,河北,"http://www.ncst.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/60206933.png
甘肃农业大学,Gansu Agricultural University,230,155.4,,农业,,甘肃,"https://www.gsau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/73822591.png
北京印刷学院,Beijing Institute of Graphic Communication,231,154.1,,理工,,北京,"https://www.bigc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/19759004.png
重庆理工大学,Chongqing University of Technology,232,153.3,,理工,,重庆,"https://www.cqut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/14275328.png
西安石油大学,Xi'an Shiyou University,232,153.3,,理工,,陕西,"http://www.xsyu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/37520130.png
海南师范大学,Hainan Normal University,234,152.8,,师范,,海南,"http://www.hainnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/94936624.png
上海应用技术大学,Shanghai Institute of Technology,235,151.6,,理工,,上海,"https://www.sit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/11765823.png
桂林电子科技大学,Guilin University of Electronic Technology,236,151.2,,理工,,广西,"http://www.gliet.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/13097274.png
聊城大学,Liaocheng University,237,150.8,,综合,,山东,"https://www.lcu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/34048509.png
郑州轻工业大学,Zhengzhou University of Light Industry,237,150.8,,理工,,河南,"http://www.zzuli.edu.cn/
",https://www.shanghairanking.cn/_uni/logo-jpg/3492800000.jpg
武汉轻工大学,Wuhan Polytechnic University,239,150.0,,理工,,湖北,"https://www.whpu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/45183909.png
安徽建筑大学,Anhui jianzhu University,240,149.9,,理工,,安徽,"https://www.ahjzu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/40890032.png
东北石油大学,Northeast Petroleum University,240,149.9,,理工,,黑龙江,"http://www.nepu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/74529408.png
成都信息工程大学,Chengdu University of Information Technology,242,149.2,,理工,,四川,"https://www.cuit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/51862705.png
东莞理工学院,Dongguan University of Technology,243,149.0,,理工,,广东,"https://www.dgut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/69487690.png
大连交通大学,Dalian Jiaotong University,244,148.1,,理工,,辽宁,"http://www.djtu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/50496475.png
山东建筑大学,Shandong Jianzhu University,245,147.5,,理工,,山东,"https://www.sdjzu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/30745802.png
西华师范大学,China West Normal University,246,147.4,,师范,,四川,"https://www.cwnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/26457756.png
西安工程大学,Xi'an Polytechnic University,247,147.2,,理工,,陕西,"https://www.xpu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/23494932.png
贵州师范大学,Guizhou Normal University,248,146.7,,师范,,贵州,"https://www.gznu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/82418408.png
成都大学,Chengdu University,249,146.3,,综合,,四川,"https://www.cdu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/69265723.png
西安工业大学,Xi'an Technological University,250,145.9,,理工,,陕西,"https://www.xatu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/88779109.png
浙大宁波理工学院,NingboTech University,251,145.1,,理工,,浙江,"https://www.nbt.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/68131907.png
佛山科学技术学院,Foshan University,252,144.6,,理工,,广东,"https://www.fosu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/52972913.png
山西农业大学,Shanxi Agricultural University,253,143.8,,农业,,山西,"https://www.sxau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/79434268.png
青岛理工大学,Qingdao University of Technology,254,143.6,,理工,,山东,"http://www.qtech.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/11244718.png
华北水利水电大学,North China University of Water Resources and Electric Power,255,143.5,,理工,,河南,"https://www.ncwu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/87920384.png
厦门理工学院,Xiamen University of Technology,256,143.2,,理工,,福建,"https://www.xmut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/19033285.png
北京电子科技学院,Beijing Electronic Science and Technology Institute,257,142.9,,理工,,北京,"https://www.besti.edu.cn/
",https://www.shanghairanking.cn/_uni/logo-jpg/9246225400.jpg
南京工程学院,Nanjing Institute of Technology,258,142.7,,理工,,江苏,"https://www.njit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/53286556.png
北京联合大学,Beijing Union University,259,142.2,,综合,,北京,"https://www.buu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/38515710.png
长春工业大学,Changchun University of Technology,260,141.6,,理工,,吉林,"https://www.ccut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/73521245.png
辽宁工程技术大学,Liaoning Technical University,261,141.3,,理工,,辽宁,"https://www.lntu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/44745654.png
湖州师范学院,Huzhou University,262,141.1,,师范,,浙江,"http://www.zjhu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/61175754.png
江汉大学,Jianghan University,263,140.5,,综合,,湖北,"https://www.jhun.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/43420140.png
辽宁石油化工大学,Liaoning shihua University,264,140.2,,理工,,辽宁,"https://www.lnpu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/96685089.png
青海师范大学,Qinghai Normal University,265,140.1,,师范,,青海,"https://www.qhnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/39086444.png
吉林师范大学,Jilin Normal University,266,139.9,,师范,,吉林,"https://www.jlnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/23887678.png
北京石油化工学院,Beijing Institute of Petrochemical Technology,267,139.7,,理工,,北京,"http://www.bipt.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/47539221.png
内蒙古师范大学,Inner Mongolia Normal University,267,139.7,,师范,,内蒙古,"https://www.imnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/65057276.png
中国民航大学,Civil Aviation University of China,269,139.1,,理工,,天津,"https://www.cauc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/32878207.png
辽宁工业大学,Liaoning University of Technology,270,138.7,,理工,,辽宁,"https://www.lnut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/98866857.png
湖南工业大学,Hunan University of Technology,271,138.6,,理工,,湖南,"http://www.hut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/21950632.png
延安大学,Yan'an University,272,138.5,,综合,,陕西,"https://www.yau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/39856591.png
西华大学,Xihua University,273,138.2,,综合,,四川,"http://www.xhu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/93995661.png
桂林理工大学,Guilin University of Technology,274,138.0,,理工,,广西,"https://www.glut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/10181164.png
河北工程大学,Hebei University of Engineering,275,137.0,,理工,,河北,"http://www.hebeu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/89281811.png
沈阳化工大学,Shenyang University of Chemical Technology,275,137.0,,理工,,辽宁,"https://www.syuct.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/57609876.png
绍兴文理学院,Shaoxing University,277,136.8,,师范,,浙江,"https://www.usx.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/52850359.png
安徽工程大学,Anhui Polytechnic University,278,136.6,,理工,,安徽,"https://www.ahpu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/58244413.png
浙江科技学院,Zhejiang University of Science and Technology,279,135.9,,理工,,浙江,"https://www.zust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/91133655.png
盐城工学院,Yancheng Institute of Technology,280,135.0,,理工,,江苏,"https://www.ycit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/98593672.png
盐城师范学院,Yancheng Teachers University,281,134.8,,师范,,江苏,"http://www.yctc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/87686237.png
山西师范大学,Shanxi Normal University,282,134.5,,师范,,山西,"https://www.sxnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/27091361.png
赣南师范大学,GanNan Normal University,283,133.9,,师范,,江西,"http://www.gnnu.cn/
",https://www.shanghairanking.cn/_uni/logo/10016344.png
大连海洋大学,Dalian Ocean University,284,133.7,,农业,,辽宁,"http://www.dlou.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/31946724.png
内蒙古工业大学,Inner Mongolia University of Technology,285,133.6,,理工,,内蒙古,"https://www.imut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/41582349.png
淮阴师范学院,Huaiyin Normal University,286,133.3,,师范,,江苏,"https://www.hytc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/72353527.png
信阳师范学院,Xinyang Normal University,287,133.1,,师范,,河南,"http://www.xynu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/20481613.png
安庆师范大学,Anqing Normal University,288,132.9,,师范,,安徽,"https://www.aqnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/66650184.png
合肥学院,Hefei University,289,132.8,,理工,,安徽,"http://www.hfuu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/61834081.png
云南农业大学,Yunnan Agricultural University,290,132.6,,农业,,云南,"https://www.ynau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/17581582.png
辽宁科技大学,University of Science and Technology Liaoning,291,132.5,,理工,,辽宁,"http://www.ustl.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/62832363.png
南宁师范大学,Guangxi Teachers Education University,292,132.3,,师范,,广西,"http://www.gxtc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/93746377.png
沈阳理工大学,Shenyang Ligong University,293,132.2,,理工,,辽宁,"https://www.sylu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/61862540.png
内蒙古民族大学,Inner Mongolia University for Nationalities,294,131.3,,综合,,内蒙古,"https://www.imun.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/87679328.png
新疆师范大学,Xinjiang Normal University,295,131.2,,师范,,新疆,"https://www.xjnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/91394778.png
湖北师范大学,Hubei Normal University,296,130.8,,师范,,湖北,"https://www.hbnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/40458904.png
重庆科技学院,Chongqing University of Science and Technology,297,130.6,,理工,,重庆,"http://www.cqust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/92174588.png
