校名,英文名,2021软科排名,备注,类型,地点,2021软科总分,2021软科办学层次,logo下载url
湘南学院,Xiangnan University,483,,理工,湖南,91.1,,https://www.shanghairanking.cn/_uni/logo/21632133.png
六盘水师范学院,Liupanshui Normal University,484,,师范,贵州,90.9,,https://www.shanghairanking.cn/_uni/logo-jpg/1719257800.jpg
河南牧业经济学院,Henan University of Animal Husbandry and Economy,485,,农业,河南,90.7,,https://www.shanghairanking.cn/_uni/logo/55458057.png
平顶山学院,Pingdingshan University,485,,师范,河南,90.7,,https://www.shanghairanking.cn/_uni/logo/95443426.png
贺州学院,Hezhou University,487,,综合,广西,90.6,,https://www.shanghairanking.cn/_uni/logo/68638535.png
兰州工业学院,Lanzhou Institute of Technology,487,,理工,甘肃,90.6,,https://www.shanghairanking.cn/_uni/logo-jpg/9986906100.jpg
宁德师范学院,Ningde Normal University,489,,师范,福建,90.5,,https://www.shanghairanking.cn/_uni/logo-jpg/6036772300.jpg
池州学院,Chizhou University,490,,师范,安徽,90.4,,https://www.shanghairanking.cn/_uni/logo/31711737.png
黔南民族师范学院,Qiannan Normal College for Nationalities,491,,师范,贵州,90.2,,https://www.shanghairanking.cn/_uni/logo-jpg/2274361400.jpg
太原师范学院,Taiyuan Normal University,491,,师范,山西,90.2,,https://www.shanghairanking.cn/_uni/logo/95911693.png
宿州学院,Suzhou University,493,,师范,安徽,90.1,,https://www.shanghairanking.cn/_uni/logo-jpg/5126663700.jpg
山东石油化工学院,"Shengli College, China University of Petroleum",494,,理工,山东,89.8,,https://www.shanghairanking.cn/_uni/logo-jpg/1462012500.jpg
海南热带海洋学院,Hainan Tropical Ocean University,495,,综合,海南,89.7,,https://www.shanghairanking.cn/_uni/logo/40219438.png
黑河学院,Heihe University,496,,综合,黑龙江,89.4,,https://www.shanghairanking.cn/_uni/logo-jpg/6108486600.jpg
吉林农业科技学院,Jilin Agricultural Science and Technology University,496,,农业,吉林,89.4,,https://www.shanghairanking.cn/_uni/logo-jpg/3050964900.jpg
辽东学院,Eastern Liaoning University,496,,综合,辽宁,89.4,,https://www.shanghairanking.cn/_uni/logo/32502477.png
山西大同大学,Shanxi Datong University,496,,综合,山西,89.4,,https://www.shanghairanking.cn/_uni/logo/84783964.png
西安航空学院,Xi'an Aeronautical University,496,,理工,陕西,89.4,,https://www.shanghairanking.cn/_uni/logo/48156282.png
陕西学前师范学院,Shaanxi Xueqian Normal University,501,,师范,陕西,89.3,,https://www.shanghairanking.cn/_uni/logo-jpg/1691016600.jpg
四川民族学院,Sichuan University for Nationalities,501,,师范,四川,89.3,,https://www.shanghairanking.cn/_uni/logo-jpg/6044899600.jpg
山东农业工程学院,Shandong Agriculture and Engineering University,503,,综合,山东,88.8,,https://www.shanghairanking.cn/_uni/logo-jpg/7258167900.jpg
蚌埠学院,Bengbu University,504,,理工,安徽,88.3,,https://www.shanghairanking.cn/_uni/logo/64894541.png
怀化学院,Huaihua University,505,,综合,湖南,87.9,,https://www.shanghairanking.cn/_uni/logo/97532390.png
新余学院,Xinyu University,506,,综合,江西,87.8,,https://www.shanghairanking.cn/_uni/logo-jpg/6113099900.jpg
邵阳学院,Shaoyang University,507,,理工,湖南,87.7,,https://www.shanghairanking.cn/_uni/logo/89823044.png
楚雄师范学院,Chuxiong Normal University,508,,师范,云南,87.4,,https://www.shanghairanking.cn/_uni/logo/62283799.png
河南工程学院,Henan University of Engineering,508,,理工,河南,87.4,,https://www.shanghairanking.cn/_uni/logo/27407185.png
济宁学院,Jining University,510,,师范,山东,87.3,,https://www.shanghairanking.cn/_uni/logo/45162710.png
喀什大学,Kashi University,511,,师范,新疆,87.2,,https://www.shanghairanking.cn/_uni/logo-jpg/3795453200.jpg
兰州文理学院,Lanzhou University of Arts and Science,512,,综合,甘肃,86.9,,https://www.shanghairanking.cn/_uni/logo-jpg/3454415300.jpg
赤峰学院,Chifeng University,513,,综合,内蒙古,86.8,,https://www.shanghairanking.cn/_uni/logo/71637705.png
汉江师范学院,Hanjiang Normal University,513,,师范,湖北,86.8,,https://www.shanghairanking.cn/_uni/logo-jpg/8409386600.jpg
伊犁师范大学,Yili Normal University,515,,师范,新疆,86.7,,https://www.shanghairanking.cn/_uni/logo/88921235.png
贵州工程应用技术学院,Guizhou University of Engineering Science,516,,师范,贵州,86.5,,https://www.shanghairanking.cn/_uni/logo-jpg/3605984000.jpg
邢台学院,Xingtai University,517,,师范,河北,86.4,,https://www.shanghairanking.cn/_uni/logo/16573557.png
邯郸学院,Handan College,518,,师范,河北,86.2,,https://www.shanghairanking.cn/_uni/logo/22418873.png
衡水学院,Hengshui University,518,,师范,河北,86.2,,https://www.shanghairanking.cn/_uni/logo-jpg/1780203800.jpg
晋中学院,Jinzhong University,520,,师范,山西,86.1,,https://www.shanghairanking.cn/_uni/logo-jpg/9083433800.jpg
梧州学院,Wuzhou University,521,,综合,广西,86.0,,https://www.shanghairanking.cn/_uni/logo-jpg/3573615200.jpg
菏泽学院,Heze University,522,,综合,山东,85.8,,https://www.shanghairanking.cn/_uni/logo-jpg/6859622100.jpg
红河学院,Honghe University,522,,综合,云南,85.8,,https://www.shanghairanking.cn/_uni/logo/87705412.png
甘肃民族师范学院,Gansu Normal University for Nationalities,524,,师范,甘肃,85.7,,https://www.shanghairanking.cn/_uni/logo-jpg/6463626300.jpg
呼伦贝尔学院,Hulunbuir University,525,,综合,内蒙古,85.6,,https://www.shanghairanking.cn/_uni/logo-jpg/3798407700.jpg
山东女子学院,Shandong Women's University,526,,综合,山东,85.4,,https://www.shanghairanking.cn/_uni/logo-jpg/6756319700.jpg
湖南人文科技学院,"Hunan University of Humanities, Science and Technology",527,,师范,湖南,84.8,,https://www.shanghairanking.cn/_uni/logo-jpg/4726142300.jpg
广州航海学院,Guangzhou Maritime University,528,,理工,广东,84.6,,https://www.shanghairanking.cn/_uni/logo-jpg/8091211800.jpg
新乡学院,Xinxiang University,528,,理工,河南,84.6,,https://www.shanghairanking.cn/_uni/logo/36805815.png
百色学院,Baise University,530,,综合,广西,84.2,,https://www.shanghairanking.cn/_uni/logo-jpg/5133582400.jpg
沧州师范学院,Cangzhou Normal University,531,,师范,河北,83.9,,https://www.shanghairanking.cn/_uni/logo-jpg/7545744400.jpg
景德镇学院,Jingdezhen University,532,,综合,江西,83.6,,https://www.shanghairanking.cn/_uni/logo-jpg/8700667100.jpg
福建技术师范学院,Fujian Polytechnic Normal University,533,,师范,福建,83.4,,https://www.shanghairanking.cn/_uni/logo-jpg/2006306400.jpg
广西民族师范学院,Guangxi Normal University for Nationalities,533,,理工,,83.4,,https://www.shanghairanking.cn/_uni/logo-jpg/8391212800.jpg
荆楚理工学院,Jingchu University of Technology,533,,师范,,83.4,,https://www.shanghairanking.cn/_uni/logo/77437503.png
安阳工学院,Anyang Institute of Technology,537,,理工,,83.4,,https://www.shanghairanking.cn/_uni/logo/16651461.png
阿坝师范学院,Aba Teachers University,538,,理工,,83.2,,https://www.shanghairanking.cn/_uni/logo-jpg/7867310100.jpg
信阳农林学院,Xinyang Agriculture and Forestry University,538,,师范,,82.8,,https://www.shanghairanking.cn/_uni/logo-jpg/8561928200.jpg
巢湖学院,Chaohu University,540,,农业,,82.8,,https://www.shanghairanking.cn/_uni/logo/67944058.png
河北民族师范学院,Hebei Normal University for Nationalities,541,,师范,学校名称,82.6,,https://www.shanghairanking.cn/_uni/logo-jpg/4961844000.jpg
桂林航天工业学院,Guilin University of Aerospace Technology,542,,师范,,82.5,,https://www.shanghairanking.cn/_uni/logo/78821750.png
长治学院,Changzhi University,543,,理工,,82.3,,https://www.shanghairanking.cn/_uni/logo-jpg/6834033600.jpg
河池学院,Hechi University,544,,师范,,82.2,,https://www.shanghairanking.cn/_uni/logo-jpg/8043470000.jpg
河北环境工程学院,Hebei University of Environmental Engineering,545,,综合,,81.0,,https://www.shanghairanking.cn/_uni/logo-jpg/5184991800.jpg
张家口学院,Zhangjiakou University,546,,综合,,80.9,,https://www.shanghairanking.cn/_uni/logo-jpg/7082706800.jpg
湖南工学院,Hunan Institute of Technology,547,,综合,,80.7,,https://www.shanghairanking.cn/_uni/logo/65480177.png
河南工学院,Henan Institute of Technology,548,,理工,,80.6,,https://www.shanghairanking.cn/_uni/logo-jpg/2200013300.jpg
兴义民族师范学院,Xingyi Normal University for Nationalities,549,,理工,,80.5,,https://www.shanghairanking.cn/_uni/logo-jpg/4357856000.jpg
绥化学院,Suihua University,550,,师范,,80.0,,https://www.shanghairanking.cn/_uni/logo-jpg/3200894300.jpg
温州理工学院,Wenzhou University Oujiang College,551,,综合,,79.8,,https://www.shanghairanking.cn/_uni/logo-jpg/3429316100.jpg
保山学院,Baoshan University,552,,师范,,79.2,,https://www.shanghairanking.cn/_uni/logo-jpg/3305498700.jpg
山东青年政治学院,Shandong Youth University of Political Science,553,,师范,,79.0,,https://www.shanghairanking.cn/_uni/logo-jpg/8794886600.jpg
长沙师范学院,Changsha Normal University,554,,综合,,78.9,,https://www.shanghairanking.cn/_uni/logo-jpg/3063398500.jpg
枣庄学院,Zaozhuang University,555,,师范,,78.8,,https://www.shanghairanking.cn/_uni/logo/84643594.png
郑州工程技术学院,Zhengzhou Institute of Technology,555,,综合,,78.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8369306300.jpg
运城学院,Yuncheng University,557,,理工,,78.1,,https://www.shanghairanking.cn/_uni/logo/26090569.png
文山学院,Wenshan University,558,,师范,,77.9,,https://www.shanghairanking.cn/_uni/logo-jpg/9311830300.jpg
新疆工程学院,Xinjiang Institute of Engineering,560,,师范,,76.3,,https://www.shanghairanking.cn/_uni/logo-jpg/9851006000.jpg
普洱学院,Puer University,561,,理工,,75.5,,https://www.shanghairanking.cn/_uni/logo-jpg/1659450100.jpg
萍乡学院,Pingxiang University,562,,师范,,75.1,,https://www.shanghairanking.cn/_uni/logo-jpg/2474541200.jpg
集宁师范学院,Jining Normal University,563,,综合,,73.2,,https://www.shanghairanking.cn/_uni/logo-jpg/1592444300.jpg
滇西科技师范学院,West Yunnan University,564,,师范,,72.6,,https://www.shanghairanking.cn/_uni/logo-jpg/4442061900.jpg
太原工业学院,Taiyuan Institute of Technology,565,,师范,,72.2,,https://www.shanghairanking.cn/_uni/logo/18568381.png
新疆理工学院,Xinjiang Institute of Technology,566,,理工,,71.8,,https://www.shanghairanking.cn/_uni/logo-jpg/8039186500.jpg
广西科技师范学院,Guangxi Science and Technology Normal University,567,,综合,,71.7,,https://www.shanghairanking.cn/_uni/logo-jpg/8668105300.jpg
昭通学院,Zhaotong University,568,,师范,,71.5,,https://www.shanghairanking.cn/_uni/logo-jpg/6432819300.jpg
忻州师范学院,Xinzhou Teachers University,569,,师范,,71.2,,https://www.shanghairanking.cn/_uni/logo/87333253.png
河北石油职业技术大学,Hebei University of Technology City College,570,,师范,,71.1,,https://www.shanghairanking.cn/_uni/logo-jpg/4513491700.jpg
昌吉学院,Changji University,571,,理工,学校名称,70.7,,https://www.shanghairanking.cn/_uni/logo-jpg/1738244300.jpg
琼台师范学院,Qiongtai Normal University,572,,师范,,70.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8817040400.jpg
鄂尔多斯应用技术学院,Ordos Institute of Technology,573,,师范,,69.8,,https://www.shanghairanking.cn/_uni/logo-jpg/7932247000.jpg
黑龙江工业学院,Heilongjiang University of Technology,574,,综合,,69.3,,https://www.shanghairanking.cn/_uni/logo-jpg/4358643700.jpg
新疆政法学院,College of Science &amp; Technology Shihezi University,575,,理工,,68.2,,https://www.shanghairanking.cn/_uni/logo-jpg/5488556200.jpg
山西能源学院,Shanxi Institute of Energy,576,,综合,,66.9,,https://www.shanghairanking.cn/_uni/logo-jpg/7446893200.jpg
赣东学院,"East China Institute of Technology, Yangtze River College",577,,综合,,64.9,,https://www.shanghairanking.cn/_uni/logo-jpg/4406712200.jpg
河套学院,Hetao University,578,,理工,,64.2,,https://www.shanghairanking.cn/_uni/logo-jpg/6352286800.jpg
亳州学院,Bozhou University,579,,综合,,64.1,,https://www.shanghairanking.cn/_uni/logo/46908529.png
豫章师范学院,Yuzhang Normal University,580,,师范,,63.6,,https://www.shanghairanking.cn/_uni/logo-jpg/9530226800.jpg
山西工程技术学院,Shanxi Institute of Technology,581,,师范,,62.1,,https://www.shanghairanking.cn/_uni/logo-jpg/5595557000.jpg
太原学院,Taiyuan University,582,,理工,,61.9,,https://www.shanghairanking.cn/_uni/logo-jpg/6208575900.jpg
